기간,자치구,동,사업체수,여성대표자,계,남,여,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수,사업체수,종사자수
2019,중랑구,면목4동,"1,172",399,"3,839","2,158","1,681","1,032","2,268",63,912,40,518,37,141
2019,중랑구,면목5동,830,239,"3,050","1,856","1,194",732,"1,745",66,"1,099",11,116,21,90
2019,중랑구,면목7동,"1,477",554,"4,335","2,034","2,301","1,359","3,375",57,487,16,246,45,227
2019,중랑구,상봉1동,"1,171",395,"6,638","3,499","3,139",960,"2,381",144,"2,816",32,"1,312",35,129
2019,중랑구,상봉2동,"2,159",809,"9,306","4,812","4,494","1,807","4,954",221,"3,111",36,885,95,356
2019,중랑구,중화1동,"1,089",361,"3,590","1,639","1,951",930,"2,211",81,616,25,455,53,308
2019,중랑구,중화2동,"2,111",773,"6,771","3,810","2,961","1,874","4,352",155,"2,026",24,206,58,187
2019,중랑구,묵1동,"1,555",569,"5,736","2,689","3,047","1,331","3,127",130,"1,455",36,852,58,302
2019,중랑구,묵2동,"1,811",536,"4,688","2,457","2,231","1,617","3,337",123,"1,004",16,241,55,106
2019,중랑구,망우3동,"1,132",407,"3,746","1,846","1,900","1,039","2,629",59,746,14,319,20,52
2019,중랑구,신내1동,"2,017",622,"11,518","6,629","4,889","1,703","3,915",181,"3,950",51,"3,218",82,435
2019,중랑구,신내2동,"1,120",433,"6,468","2,985","3,483",957,"2,454",107,"1,045",28,"2,821",28,148
2019,중랑구,면목본동,"2,572",963,"7,681","3,475","4,206","2,363","6,024",123,"1,024",32,409,54,224
2019,중랑구,면목3.8동,"2,123",766,"7,671","3,852","3,819","1,916","4,626",114,"1,190",29,"1,668",64,187
2019,중랑구,망우본동,"3,827","1,003","12,002","6,270","5,732","3,475","7,325",195,"2,122",73,"2,204",84,351
2019,성북구,소계,"23,617","8,922","111,005","54,975","56,030","20,229","48,948","1,867","25,338",731,"31,717",790,"5,002"
2019,성북구,돈암1동,386,134,"2,116","1,019","1,097",320,823,27,694,14,413,25,186
2019,성북구,돈암2동,421,190,"2,477",831,"1,646",355,704,19,"1,102",23,505,24,166
2019,성북구,안암동,"1,431",455,"13,406","6,710","6,696","1,073","2,944",226,"1,765",83,"8,451",49,246
2019,성북구,보문동,"1,294",424,"5,461","2,796","2,665","1,135","2,616",103,"1,943",30,425,26,477
2019,성북구,정릉1동,757,293,"1,976",956,"1,020",671,"1,434",38,285,19,113,29,144
2019,성북구,정릉2동,904,306,"2,961","1,584","1,377",811,"1,709",40,550,21,547,32,155
2019,성북구,정릉3동,717,260,"4,764","2,839","1,925",580,"1,175",33,496,48,"2,873",56,220
2019,성북구,정릉4동,929,331,"4,131","2,385","1,746",799,"1,635",45,"1,058",28,"1,178",57,260
2019,성북구,길음1동,"1,008",460,"3,921","1,465","2,456",893,"2,273",51,623,27,794,37,231
2019,성북구,길음2동,995,429,"4,816","2,013","2,803",803,"2,306",137,"1,697",24,532,31,281
2019,성북구,월곡1동,"1,361",480,"5,403","2,659","2,744","1,200","2,684",77,"1,413",40,935,44,371
2019,성북구,월곡2동,"1,558",587,"8,951","4,413","4,538","1,317","3,559",135,"1,171",57,"3,973",49,248
2019,성북구,장위1동,911,327,"2,263","1,056","1,207",844,"1,753",27,178,11,211,29,121
2019,성북구,장위2동,"1,106",403,"3,218","1,502","1,716","1,003","2,307",51,215,23,467,29,229
2019,성북구,장위3동,597,177,"2,331","1,247","1,084",542,"1,341",23,519,11,342,21,129
2019,성북구,성북동,"1,174",501,"5,315","2,595","2,720",861,"2,190",189,"1,823",72,"1,070",52,232
2019,성북구,삼선동,"1,834",743,"8,921","4,394","4,527","1,522","3,664",190,"1,392",72,"3,586",50,279
2019,성북구,동선동,"2,037",838,"9,961","4,329","5,632","1,744","4,827",207,"2,772",51,"2,175",35,187
2019,성북구,종암동,"2,034",811,"8,629","4,553","4,076","1,810","4,334",113,"2,394",43,"1,393",68,508
2019,성북구,석관동,"2,163",773,"9,984","5,629","4,355","1,946","4,670",136,"3,248",34,"1,734",47,332
2019,강북구,소계,"19,014","7,153","73,904","34,134","39,770","16,654","40,493","1,281","17,474",381,"11,382",698,"4,555"
2019,강북구,번1동,"1,895",741,"9,633","4,014","5,619","1,536","4,267",280,"3,879",28,856,51,631
2019,강북구,번2동,640,166,"3,657","2,146","1,511",533,"1,152",37,914,32,"1,441",38,150
2019,강북구,번3동,869,227,"3,147","1,707","1,440",772,"1,740",45,733,21,493,31,181
2019,강북구,수유1동,"1,473",601,"5,349","2,444","2,905","1,293","2,799",83,"1,060",33,"1,191",64,299
2019,강북구,수유2동,"1,280",482,"3,797","1,744","2,053","1,121","2,474",57,706,19,130,83,487
2019,강북구,수유3동,"2,542","1,053","9,146","4,206","4,940","2,273","5,891",181,"1,695",33,"1,364",55,196
2019,강북구,삼양동,"1,059",371,"3,509","1,433","2,076",954,"2,004",26,353,30,806,49,346
2019,강북구,미아동,"1,740",685,"6,824","3,076","3,748","1,520","3,908",139,"1,169",37,"1,427",44,320
2019,강북구,송중동,"2,117",822,"8,611","3,470","5,141","1,822","5,037",194,"2,448",40,816,61,310
2019,강북구,송천동,"2,041",747,"7,973","3,616","4,357","1,850","4,923",99,"1,879",35,866,57,305
2019,강북구,삼각산동,782,337,"2,247",862,"1,385",714,"1,542",20,148,10,303,38,254
2019,강북구,우이동,"1,016",387,"4,252","2,603","1,649",898,"2,047",45,"1,568",25,267,48,370
2019,강북구,인수동,"1,560",534,"5,759","2,813","2,946","1,368","2,709",75,922,38,"1,422",79,706
2019,도봉구,소계,"18,628","6,269","72,939","37,598","35,341","16,363","36,212","1,143","17,447",352,"14,228",770,"5,052"
2019,도봉구,쌍문1동,913,288,"3,831","1,935","1,896",790,"1,769",46,622,31,"1,258",46,182
2019,도봉구,쌍문2동,"1,280",488,"5,572","2,730","2,842","1,089","2,750",104,"1,617",15,501,72,704
2019,도봉구,쌍문3동,966,358,"4,182","1,936","2,246",853,"2,023",62,593,18,"1,313",33,253
2019,도봉구,쌍문4동,611,240,"2,093",938,"1,155",555,"1,185",15,125,17,661,24,122
2019,도봉구,방학1동,"2,350",933,"13,653","7,309","6,344","2,018","5,015",193,"3,987",33,"3,956",106,695
2019,도봉구,방학2동,"1,219",416,"2,909","1,431","1,478","1,127","2,308",28,202,17,256,47,143
2019,도봉구,방학3동,898,255,"3,169","1,449","1,720",798,"1,707",33,418,21,558,46,486
2019,도봉구,창1동,"1,538",424,"3,958","2,076","1,882","1,422","2,649",56,482,19,573,41,254
2019,도봉구,창2동,"1,410",503,"4,428","2,396","2,032","1,286","2,947",61,850,16,454,47,177
2019,도봉구,창3동,915,329,"2,170","1,012","1,158",844,"1,544",22,172,10,183,39,271
2019,도봉구,창4동,"1,319",439,"7,530","3,988","3,542","1,051","2,635",176,"3,235",39,"1,315",53,345
2019,도봉구,창5동,"2,157",540,"7,359","3,642","3,717","1,904","4,215",146,"1,720",33,982,74,442
2019,도봉구,도봉1동,"1,626",579,"5,766","3,373","2,393","1,405","3,027",97,"1,681",44,751,80,307
